,node,volatility,eign,closeness,betwness,centrality,community,density,name,type
6,786,1,0.006224340702541952,0.1746367419332833,0.06191439749486942,15,1,0.16666666666666666,"Meyer, M.",
350,660,1,5.419852344857953e-75,0.002336448598130841,0.0,1,2,1.0,"K̦pp, W.",incoming
351,1236,1,5.419852344857953e-75,0.002336448598130841,0.0,1,2,1.0,"Weinkauf, T.",
184,1193,1,4.634159963766103e-05,0.09841725069872403,0.0,1,3,0.17980295566502463,"Veras, R.",incoming
16,78,1,0.0001599201740469588,0.09890547186796118,0.0,3,3,0.17980295566502463,"Baur, D.",
19,1161,1,0.00015992017404695878,0.09890547186796118,0.0,3,3,0.17980295566502463,"Thudt, A.",incoming
45,257,1,0.0007499933929717831,0.1319648849688903,0.0,3,3,0.17980295566502463,"Detienne, F.",incoming
46,315,1,0.0007499933929717831,0.1319648849688903,0.0,3,3,0.17980295566502463,"Eveillard, L.",incoming
427,570,1,0.0032594635683856816,0.13073898166590062,0.0,3,3,0.17980295566502463,"Jo, J.",
428,1196,1,0.0032594635683856816,0.13073898166590062,0.0,3,3,0.17980295566502463,"Vernier, F.",incoming
31,500,1,0.0005707011014804659,0.11322874417822912,0.0,4,3,0.17980295566502463,"Hill, M.",incoming
32,591,1,0.0005707011014804659,0.11322874417822912,0.0,4,3,0.17980295566502463,"Kamal, N.",incoming
44,124,1,0.003153906276133383,0.15317050989026768,0.013713015883122476,4,3,0.17980295566502463,"Boy, J.",
183,212,1,0.0005243595018428049,0.11328235627301048,0.0034909934557552148,4,3,0.17980295566502463,"Collins, C.",
295,37,1,0.0005661301746253216,0.11322874417822912,0.0,4,3,0.17980295566502463,"Andr̩, E.",incoming
296,649,1,0.0005661301746253216,0.11322874417822912,0.0,4,3,0.17980295566502463,"Koytek, P.",incoming
297,1195,1,0.0005661301746253216,0.11322874417822912,0.0,4,3,0.17980295566502463,"Vermeulen, J.",incoming
406,349,1,0.0036750946640427703,0.13189213696174096,0.0,4,3,0.17980295566502463,"Follmer, S.",incoming
407,399,1,0.0036750946640427703,0.13189213696174096,0.0,4,3,0.17980295566502463,"Goc, M.L.",incoming
33,729,1,0.0006132797087701114,0.11333601916087074,1.4591404203783552e-05,5,3,0.17980295566502463,"Loorak, M.H.",incoming
40,414,1,0.026112729408628795,0.1505678643477647,0.0,5,3,0.17980295566502463,"Grabowski, T.",incoming
41,496,1,0.026112729408628795,0.1505678643477647,0.0,5,3,0.17980295566502463,"Heulot, N.",incoming
42,746,1,0.026112729408628795,0.1505678643477647,0.0,5,3,0.17980295566502463,"Madhyastha, T.",incoming
43,1053,1,0.026112729408628795,0.1505678643477647,0.0,5,3,0.17980295566502463,"Shi, C.",
336,924,1,0.0006373382301635617,0.11328235627301048,0.0,5,3,0.17980295566502463,"Pusch, R.",incoming
337,1281,1,0.0006373382301635617,0.11328235627301048,0.0,5,3,0.17980295566502463,"Wun, T.",incoming
338,1212,1,0.0006373382301635617,0.11328235627301048,0.0,5,3,0.17980295566502463,"Walny, J.",
18,532,1,0.0006633096424517957,0.11338973291402756,0.003381557924226838,7,3,0.17980295566502463,"Huron, S.",
47,324,1,0.004582341085854603,0.1429225426813609,0.010382629729190173,9,3,0.17980295566502463,"Fekete, J.-D.",
17,167,0,0.0009862817866005198,0.11382128280142631,0.0038284196779677098,14,3,0.17980295566502463,"Carpendale, S.",
39,286,1,0.0290393293922101,0.15771413081647864,0.09621842575872891,15,3,0.17980295566502463,"Dragicevic, P.",
34,890,1,0.004287273408429346,0.13299184905425132,0.05033852057752779,16,3,0.17980295566502463,"Perin, C.",
20,108,1,5.367561779771532e-47,0.007009345794392523,0.0,3,4,1.0,"Bogl, M.",incoming
21,321,1,5.367561779771532e-47,0.007009345794392523,0.0,3,4,1.0,"Federico, P.",incoming
22,436,1,5.367561779771532e-47,0.007009345794392523,0.0,3,4,1.0,"Gschwandtner, T.",incoming
23,789,3,5.367561779771532e-47,0.007009345794392523,0.0,3,4,1.0,"Miksch, S.",
392,75,1,5.419852344857953e-75,0.002336448598130841,0.0,1,5,1.0,"Basole, R.C.",
393,749,1,5.419852344857953e-75,0.002336448598130841,0.0,1,5,1.0,"Major, T.",
35,110,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,6,1.0,"Borgo, R.",
36,578,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,6,1.0,"Jones, M.W.",
37,1209,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,6,1.0,"Walker, J.",incoming
317,163,1,0.0005700699549210723,0.12441619160093506,0.0,1,7,0.15798319327731092,"Cappers, B.C.M.",incoming
365,798,1,5.624635839714689e-05,0.10704802525664345,0.0,1,7,0.15798319327731092,"Molchanov, V.",incoming
278,765,1,0.0006318649682102074,0.12480560065132923,0.0,2,7,0.15798319327731092,"Matute, J.",incoming
13,1012,1,0.006404099299690738,0.14906687629196144,0.0,3,7,0.15798319327731092,"Scheepens, R.",
14,1337,2,0.006404099299690738,0.14906687629196144,0.0,3,7,0.15798319327731092,"van de Wetering, H.",
103,1282,1,0.01475888328772141,0.1386970066368685,0.0,3,7,0.15798319327731092,"Wybrow, M.",
277,716,1,0.0006364322423263795,0.1248707392737986,0.0034909934557552148,3,7,0.15798319327731092,"Linsen, L.",incoming
313,831,1,0.006410185871317016,0.14925286116568817,0.0,3,7,0.15798319327731092,"Nicol, F.",incoming
314,922,1,0.006410185871317016,0.14925286116568817,0.0,3,7,0.15798319327731092,"Puechmorel, S.",incoming
15,1336,0,0.006450389683796615,0.1491598107534901,0.0034909934557552148,4,7,0.15798319327731092,"van Wijk, J.J.",
263,95,1,0.08291721422552081,0.16754365297520876,0.0,4,7,0.15798319327731092,"Beyer, J.",
310,386,1,0.07280658726844202,0.15161745022091136,0.0,4,7,0.15798319327731092,"Gehlenborg, N.",
311,609,1,0.07280658726844202,0.15161745022091136,0.0,4,7,0.15798319327731092,"Kerpedjiev, P.",incoming
312,689,1,0.07280658726844202,0.15161745022091136,0.0,4,7,0.15798319327731092,"Lekschas, F.",incoming
104,377,1,0.019825580871407508,0.13885800142112487,0.0,5,7,0.15798319327731092,"Gange, G.",incoming
106,1303,1,0.019825580871407508,0.13885800142112487,0.0,5,7,0.15798319327731092,"Yoghourdjian, V.",incoming
199,662,1,0.03257765847197705,0.15729936650137943,0.0,5,7,0.15798319327731092,"Laha, B.",incoming
200,1158,1,0.03257765847197705,0.15729936650137943,0.0,5,7,0.15798319327731092,"Thomas, B.H.",incoming
279,1149,1,0.0065131731715251,0.14953271028037382,0.010407319048348618,5,7,0.15798319327731092,"Telea, A.C.",
366,181,1,0.032202096893466016,0.15729936650137943,0.0,5,7,0.15798319327731092,"Chen, H.",incoming
367,561,1,0.032202096893466016,0.15729936650137943,0.0,5,7,0.15798319327731092,"Jenny, B.",incoming
400,24,1,0.029348277887252118,0.17735532724136258,0.0,5,7,0.15798319327731092,"Alligier, R.",incoming
101,615,1,0.021024019871233916,0.13893863905261214,1.0943553152837662e-05,6,7,0.15798319327731092,"Kieffer, S.",incoming
190,1296,1,0.03363060435458376,0.16014212613694653,0.0021659550286650844,6,7,0.15798319327731092,"Yang, Y.",incoming
274,1205,1,0.029604379033992705,0.1805678010932816,0.016293688109114145,6,7,0.15798319327731092,"Vuillemot, R.",
408,196,1,0.10071997878086814,0.167778637060728,0.0,6,7,0.15798319327731092,"Choi, J.",incoming
409,563,1,0.10071997878086814,0.167778637060728,0.0,6,7,0.15798319327731092,"Jeong, W.",incoming
410,699,3,0.10071997878086814,0.167778637060728,0.0,6,7,0.15798319327731092,"Li, J.",incoming
264,1060,1,0.10745295321030823,0.1678963764551566,8.207664864628248e-06,7,7,0.15798319327731092,"Sicat, R.",incoming
105,628,1,0.03750455590589536,0.15761023481462327,0.0010071612923610608,8,7,0.15798319327731092,"Klein, K.",incoming
12,533,1,0.059608440358075,0.18561081182978909,0.053007834390351165,14,7,0.15798319327731092,"Hurter, C.",
100,298,1,0.07298703379612928,0.16992353440951571,0.019960787712829088,16,7,0.15798319327731092,"Dwyer, T.",
102,755,1,0.07298703379612928,0.16992353440951571,0.019960787712829088,16,7,0.15798319327731092,"Marriott, K.",
198,218,1,0.15256286126018018,0.19514872467259226,0.1573487608696665,20,7,0.15798319327731092,"Cordeil, M.",incoming
38,51,1,0.18809045812028133,0.18084076829070153,0.11817024620285475,23,7,0.15798319327731092,"Bach, B.",incoming
48,353,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,8,1.0,"Forlini, S.",incoming
49,501,3,1.2896579724656296e-58,0.004672897196261682,0.0,2,8,1.0,"Hinrichs, U.",incoming
50,809,1,1.2896579724656296e-58,0.004672897196261682,0.0,2,8,1.0,"Moynihan, B.",incoming
51,510,1,5.419852344857953e-75,0.002336448598130841,0.0,1,9,1.0,"Hofmann, H.",
52,1189,1,5.419852344857953e-75,0.002336448598130841,0.0,1,9,1.0,"VanderPlas, S.",incoming
53,479,1,5.367561779771532e-47,0.007009345794392523,0.0,3,10,1.0,"Headleand, C.",incoming
54,958,1,5.367561779771532e-47,0.007009345794392523,0.0,3,10,1.0,"Ritsos, P.D.",incoming
55,960,1,5.367561779771532e-47,0.007009345794392523,0.0,3,10,1.0,"Roberts, J.C.",
265,551,1,5.367561779771532e-47,0.007009345794392523,0.0,3,10,1.0,"Jackson, J.R.",incoming
128,82,2,0.0009213896823635903,0.11117673626793594,0.0,2,11,0.2,"Bederson, B.B.",incoming
