Kleiberg, E.: 627
Klein, K.: 628
Klieber, W.: 629
Klingner, J.: 630
Klokmose, C.N.: 631
Klosowski, J.T.: 632
Knoblach, S.: 633
Knudsen, S.: 634
Kobourov, S.: 635
Kobourov, S.G.: 636
Kobsa, A.: 637
Koh, K.: 638
Kolojejchick, J.: 639
Komisarchik, M.: 640
Kondo, B.: 641
Konevtsova, N.: 642
Kong, N.: 643
Koning, F.: 644
Konstan, J.: 645
Koren, Y.: 646
Korn, J.: 647
Kosara, R.: 648
Koytek, P.: 649
Kreuseler, M.: 650
Krishnan, N.: 651
Kriss, J.: 652
Krstajic, M.: 653
Kubica, S.: 654
Kuchera-Morin, J.: 655
Kumar, G.: 656
Kwock, L.: 657
Kwon, B.C.: 658
Kwon, O.: 659
Köpp, W.: 660
Ladisch, J.: 661
Laha, B.: 662
Lai, J.: 663
Laidlaw, D.H.: 664
Lalanne, D.: 665
Lam, H.: 666
Lan, J.: 667
Landge, A.G.: 668
Langer, S.H.: 669
Langner, R.: 670
Lanir, J.: 671
Lantrip, D.: 672
Laramee, R.S.: 673
Lazer, D.: 674
LeVasseur, J.: 675
Lebanon, G.: 676
Leboe, J.: 677
Lecolinet, E.: 678
Ledermann, F.: 679
Lee, B.: 680
Lee, P.: 681
Lee, S.: 682
Lee, Y.: 683
Legrady, G.: 684
Lehmann, D.J.: 685
Lehmann, O.: 686
Leibfried, T.: 687
Lein, J.: 688
Lekschas, F.: 689
Lelieveldt, B.P.F.: 690
Lengerich, G.: 691
Lerner, J.: 692
Leung, R.: 693
Leuski, A.: 694
Levine, J.A.: 695
Levkowitz, H.: 696
Lex, A.: 697
Li, B.: 698
Li, J.: 699
Li, M.: 700
Li, Q.: 701
Li, T.: 702
Li, W.: 703
Li, X.: 704
Li, Z.: 705
Liao, I.: 706
Lichtman, J.W.: 707
Ligierko, G.: 708
Lin, H.: 709
Lin, S.: 710
Lin, Y.: 711
Lin, Y.-R.: 712
Lin, Z.: 713
Lind, M.: 714
Lins, L.: 715
Linsen, L.: 716
Liu, L.: 717
Liu, M.: 718
Liu, S.: 719
Liu, Y.: 720
Liu, Z.: 721
Liutkus, B.: 722
Livnat, Y.: 723
Ljung, P.: 724
Ljungblad, S.: 725
Lloyd, D.: 726
Loisel, D.: 727
Lommerse, G.: 728
Loorak, M.H.: 729
Lopez, N.: 730
Lowe, T.: 731
Lu, K.: 732
Lucas, P.: 733
Luders, P.: 734
Lundervold, A.: 735
Lundervold, A.J.: 736
Lunzer, A.: 737
Löffler, M.: 738
Ma, J.: 739
Ma, K.-L.: 740
MacEachren, A.M.: 741
Maciejewski, R.: 742
Mackey, P.: 743
Mackinlay, J.D.: 744
Macko, P.: 745
Madhyastha, T.: 746
Magnor, M.: 747
Maguire, E.: 748
Major, T.: 749
Majumder, M.: 750
Manivannan, A.: 751
Mansmann, F.: 752
Mao, Y.: 753
Marchand, G.: 754
Marriott, K.: 755
Marshall, M.S.: 756
Martucci, L.: 757
Maruyama, M.: 758
Masui, T.: 759
Mateas, M.: 760
Mathisen, A.: 761
Matkovic, K.: 762
Matsushita, Y.: 763
Mattis, J.: 764
Matute, J.: 765
Matzen, L.: 766
Mayhua, A.: 767
Mazur, D.: 768
Mazurek, M.L.: 769
McCurdy, N.: 770
McDonnel, B.: 771
McDonough, K.: 772
McGuffin, M.J.: 773
McKenna, S.: 774
McKeon, M.: 775
Mccurdy, N.: 776
Meads, D.: 777
Mears, C.: 778
Mehler, A.: 779
Mehrotra, H.: 780
Mehta, N.: 781
Melancon, G.: 782
Melchionna, S.: 783
Metoyer, R.: 784
Meulemans, W.: 785
Meyer, M.: 786
Meyers, B.R.: 787
Micallef, L.: 788
Miksch, S.: 789
Miller, N.: 790
Miller, R.C.: 791
Minghim, R.: 792
Mitchell, R.: 793
Mitsouras, D.: 794
Miyamura, H.N.: 795
Mogensen, P.: 796
Mohamed, F.: 797
Molchanov, V.: 798
Moneta, A.: 799
Monroy-Hernandez, A.: 800
Moon, S.: 801
Moore, A.: 802
Moore, J.: 803
Moritz, D.: 804
Morris, S.: 805
Morrison, A.: 806
Mosca, A.: 807
Moses, Y.: 808
Moynihan, B.: 809
Muelder, C.: 810
Muigg, P.: 811
Mukherjee, V.: 812
Muller, B.: 813
Muller, H.A.: 814
Muller, W.: 815
Munzner, T.: 816
Murray, T.: 817
Möller, T.: 818
Mühlbacher, T.: 819
Nascimento, D.: 820
Nelson, G.L.: 821
Nersessian, N.: 822
Netzel, R.: 823
Neville, P.: 824
Newman, M.: 825
Ng, J.: 826
Nguyen, F.: 827
Nguyen, P.H.: 828
Nguyen, Q.V.: 829
Nick, B.: 830
Nicol, F.: 831
Nie, X.: 832
Niederer, C.: 833
Nielsen, C.B.: 834
Nobre, C.: 835
Nocaj, A.: 836
Nocke, T.: 837
Nonato, L.G.: 838
North, C.: 839
North, S.C.: 840
Nossin, F.: 841
Nothelfer, C.: 842
Nov, O.: 843
Nowell, L.: 844
Nuij, W.A.A.: 845
O'Brien, J.: 846
O'Brien, T.M.: 847
Oelke, D.: 848
Ogawa, M.: 849
Ogievetsky, V.: 850
Okada, K.: 851
Oliva, A.: 852
Olston, C.: 853
Ondov, B.: 854
Orbaek, P.: 855
Ottley, A.: 856
Otto, G.: 857
Oulasvirta, A.: 858
Overbye, T.J.: 859
Pack, M.L.: 860
Padilla, L.: 861
Pahins, C.A.L.: 862
Paiva, J.G.: 863
Pajer, S.: 864
Palmas, G.: 865
Palpanas, T.: 866
Pan, J.: 867
Pandey, A.V.: 868
Pang, A.: 869
Panjwani, G.: 870
Panse, C.: 871
Paris, J.P.: 872
Park, J.: 873
Parker, M.L.: 874
Partl, C.: 875
Pascucci, V.: 876
Passmore, P.: 877
Patnaik, B.: 878
Patrignani, M.: 879
Patro, A.: 880
Paulovich, F.V.: 881
Payne, D.A.: 882
Peck, E.: 883
Pedrini, H.: 884
Peng, W.: 885
Peng, Z.: 886
Penn, G.: 887
Pennock, K.: 888
Perer, A.: 889
Perin, C.: 890
Pernicks, A.: 891
Perrine, K.: 892
Perry, E.: 893
Petajan, E.: 894
Peters, A.: 895
Peterson, B.: 896
Peuquet, D.J.: 897
Pezzotti, N.: 898
Pfister, H.: 899
Pham, T.: 900
Phan, D.: 901
Phillips, B.C.: 902
Pickle, L.: 903
Pietriga, E.: 904
Pileggi, H.: 905
Pilhofer, A.: 906
Piringer, H.: 907
Pizzonia, M.: 908
Plaisant, C.: 909
Poco, J.: 910
Polk, T.: 911
Polunsky, Z.: 912
Popovic, J.: 913
Post, F.: 914
Pottier, M.: 915
Pousman, Z.: 916
Prabhakar, S.: 917
Pretorius, A.J.: 918
Proctor, J.: 919
Proctor, K.: 920
Pu, P.: 921
Puechmorel, S.: 922
Purchase, H.: 923
Pusch, R.: 924
Qiao, X.: 925
Qu, H.: 926
Qu, Z.: 927
Quinan, P.S.: 928
Quinn, K.I.: 929
Rafaeli, S.: 930
Raidou, R.G.: 931
