,source,target,type
521,708,33,outandin
522,708,428,outandin
523,33,428,outandin
524,137,310,outandin
525,206,256,outandin
526,206,347,outandin
527,256,347,outandin
528,909,1220,outandin
529,909,1091,outandin
530,909,974,outandin
531,909,754,outandin
532,909,812,outandin
533,909,1075,outandin
534,1220,1091,outandin
535,1220,974,outandin
536,1220,754,outandin
537,1220,812,outandin
538,1220,1075,outandin
539,1091,974,outandin
540,1091,754,outandin
541,1091,812,outandin
542,1091,1075,outandin
543,974,754,outandin
544,974,812,outandin
545,974,1075,outandin
546,754,812,outandin
547,754,1075,outandin
548,812,1075,outandin
549,1127,288,outandin
550,533,1162,outandin
551,533,215,outandin
552,1162,215,outandin
553,1307,444,outandin
554,1307,1286,outandin
555,444,1286,outandin
556,227,1331,outandin
557,227,933,outandin
558,227,1199,outandin
559,1331,933,outandin
560,1331,1199,outandin
561,933,1199,outandin
562,104,120,outandin
563,104,434,outandin
564,104,577,outandin
565,104,673,outandin
566,104,914,outandin
567,120,434,outandin
568,120,577,outandin
569,120,673,outandin
570,120,914,outandin
571,434,577,outandin
572,434,673,outandin
573,434,914,outandin
574,577,673,outandin
575,577,914,outandin
576,673,914,outandin
577,553,59,outandin
578,1041,617,incoming
579,1041,508,outandin
580,1041,633,outandin
581,617,508,outandin
582,617,633,outandin
583,508,633,outandin
584,786,899,incoming
585,741,182,outandin
586,741,897,outandin
587,182,897,outandin
588,834,549,outandin
589,834,102,outandin
590,834,580,outandin
591,549,102,outandin
592,549,580,outandin
593,102,580,outandin
