,node,volatility,eign,closeness,betwness,centrality,community,density,name,type
176,1135,1,0.0031932973326225396,0.04539225415341826,1.407103056227838e-05,7,3,0.28104575163398693,"Talbot, J.",incoming
177,174,2,0.0031932973326225396,0.04539225415341826,1.407103056227838e-05,7,3,0.28104575163398693,"Chan, B.",outandin
178,159,2,0.0031932973326225396,0.04539225415341826,1.407103056227838e-05,7,3,0.28104575163398693,"Cammarano, M.",outandin
81,462,1,0.006473363262414678,0.054398653787032986,0.013916249226093318,12,3,0.28104575163398693,"Hanrahan, P.",
11,1071,2,5.8103869739576906e-18,0.024464831804281346,0.0,2,4,0.22058823529411764,"Slack, J.",outandin
12,499,2,5.8103869739576906e-18,0.024464831804281346,0.0,2,4,0.22058823529411764,"Hildebrand, K.",outandin
141,44,3,5.8103869739576906e-18,0.024464831804281346,0.0,2,4,0.22058823529411764,"Archambault, D.",outandin
142,49,2,5.8103869739576906e-18,0.024464831804281346,0.0,2,4,0.22058823529411764,"Auber, D.",outgoing
202,666,3,6.484285106934014e-18,0.024464831804281346,0.0,2,4,0.22058823529411764,"Lam, H.",outandin
289,1127,2,3.310718637278519e-18,0.01957186544342508,0.0,2,4,0.22058823529411764,"Swindells, C.",incoming
290,288,2,3.310718637278519e-18,0.01957186544342508,0.0,2,4,0.22058823529411764,"Dreezer, R.",outandin
319,786,1,5.8103869739576906e-18,0.024464831804281346,0.0,2,4,0.22058823529411764,"Meyer, M.",incoming
320,899,1,5.8103869739576906e-18,0.024464831804281346,0.0,2,4,0.22058823529411764,"Pfister, H.",incoming
226,72,2,8.103364779635954e-18,0.025254019927000097,0.0,3,4,0.22058823529411764,"Barsky, A.",outandin
227,382,2,8.103364779635954e-18,0.025254019927000097,0.0,3,4,0.22058823529411764,"Gardy, J.",outandin
194,1089,2,1.2156495768414867e-17,0.027959807776321538,0.0,4,4,0.22058823529411764,"Sprague, D.W.",outandin
195,371,2,1.2156495768414867e-17,0.027959807776321538,0.0,4,4,0.22058823529411764,Fuqu Wu,outandin
196,1076,2,1.2156495768414867e-17,0.027959807776321538,0.0,4,4,0.22058823529411764,"So, W.Y.",outandin
201,623,2,9.18319344413568e-18,0.026095820591233436,1.876137408303784e-05,4,4,0.22058823529411764,"Kincaid, R.",outandin
193,1170,1,1.325916439746816e-17,0.030110562220653964,0.0005253184743250596,6,4,0.22058823529411764,"Tory, M.",
10,816,0,2.327013695248408e-17,0.04349303431872239,0.0018198532860546706,14,4,0.22058823529411764,"Munzner, T.",
14,64,2,1.373738114678468e-10,0.022018348623853212,0.0,2,5,0.2573099415204678,"Balzer, M.",outandin
148,122,2,1.373738114678468e-10,0.022018348623853212,0.0,2,5,0.2573099415204678,"Bottger, J.",outandin
76,1020,3,3.255070763142364e-10,0.028309305373525554,0.0,3,5,0.2573099415204678,"Schreck, T.",outandin
77,464,1,3.255070763142364e-10,0.028309305373525554,0.0,3,5,0.2573099415204678,"Hao, M.C.",outgoing
78,249,1,3.255070763142364e-10,0.028309305373525554,0.0,3,5,0.2573099415204678,"Dayal, U.",outgoing
113,1066,2,3.814671718721951e-10,0.028309305373525554,0.0,3,5,0.2573099415204678,"Sips, M.",outgoing
115,871,2,3.814671718721951e-10,0.028309305373525554,0.0,3,5,0.2573099415204678,"Panse, C.",outgoing
313,553,2,3.814671718721951e-10,0.028309305373525554,0.0,3,5,0.2573099415204678,"Janetzko, H.",outandin
314,59,3,3.814671718721951e-10,0.028309305373525554,0.0,3,5,0.2573099415204678,"Bak, P.",outandin
150,950,2,5.015820806296097e-10,0.029141932002158664,0.0,4,5,0.2573099415204678,"Rexroad, B.",outandin
151,1049,2,5.015820806296097e-10,0.029141932002158664,0.0,4,5,0.2573099415204678,"Sheleheda, D.",outandin
258,848,3,6.58163474443373e-10,0.031962118970109504,0.0,5,5,0.2573099415204678,"Oelke, D.",outandin
259,1102,2,6.58163474443373e-10,0.031962118970109504,0.0,5,5,0.2573099415204678,"Stoffel, A.",outandin
260,968,2,6.58163474443373e-10,0.031962118970109504,0.0,5,5,0.2573099415204678,"Rohrdantz, C.",outandin
